id,product_name,inventory,price,description,category_id,created_at,modified_at
63e7bbc9-09ea-4079-97ad-0b4b42934a91,TShirt,150,19.99,A comfortable and stylish T-shirt made from 100% cotton. Comes in various colors and sizes,739dfea1-4383-4fd1-b9c0-c7a033340c37,2023-02-21 17:26:36.771118+02,2023-02-21 17:26:36.771118+02
4987be55-b6af-42cc-99d8-b720fc9dd658,Jeans,200,29.99,High-quality denim jeans that are durable and stylish. Available in various styles and sizes,739dfea1-4383-4fd1-b9c0-c7a033340c37,2023-02-21 17:26:36.771118+02,2023-02-21 17:26:36.771118+02
cba862be-2e2a-4ff3-b198-42853fb61b38,Sneakers,220,29.99,Comfortable and fashionable sneakers for men and women. Available in various colors and size,739dfea1-4383-4fd1-b9c0-c7a033340c37,2023-02-21 17:26:36.771118+02,2023-02-21 17:26:36.771118+02
c2c40bd4-0382-4920-8925-912c1dc4712b,Dishwashing tablet,320,39.99,A warm and cozy hoodie made from soft cotton. Comes in various colors and sizes,d7df6e7c-4603-45d1-865e-044dd56baef0,2023-02-21 17:26:36.771118+02,2023-02-21 17:26:36.771118+02
aca52b96-de5b-49ff-8f45-47d8859bf36b,Backpack,120,49.99,A sturdy and spacious backpack for daily use. Comes with multiple pockets and compartments,739dfea1-4383-4fd1-b9c0-c7a033340c37,2023-02-21 17:26:36.771118+02,2023-02-21 17:26:36.771118+02
3fc349a3-0578-499a-9e5d-cf5da8fd8d33,Watch,100,149.99,A high-quality watch with a stylish design. Comes with a leather or metal strap,a788deae-736b-4ef0-aad9-aa895821e56b,2023-02-21 17:26:36.771118+02,2023-02-21 17:26:36.771118+02
efb59995-7a22-4e75-aa18-a5b69c0897d5,Sunglasses,80,129.99,A high-quality watch with a stylish design. Comes with a leather or metal strap,2252b6c8-4eae-4e95-b37c-ad479fe3310b,2023-02-21 17:26:36.771118+02,2023-02-21 17:26:36.771118+02
9457cfe1-d957-4624-9f67-c3fea81da744,Phone case,189,19.99,A sleek helps you monitor your health and fitness,a788deae-736b-4ef0-aad9-aa895821e56b,2023-02-21 17:26:36.771118+02,2023-02-21 17:26:36.771118+02
384d0747-3a45-4b6b-b7f2-f19d968eb144,Fitness Tracker,289,199.99,A sleek and stylish case made from high-quality materials. Comes with multiple compartments,5ceeeb8a-670a-4a79-a218-7941d2e96f7a,2023-02-21 17:26:36.771118+02,2023-02-21 17:26:36.771118+02
b460e19c-0ab2-49aa-8c75-817c455488d4,Gaming Chair,89,149.99,A sleek and stylish chair made from high-quality materials.,a7002631-afc1-4535-b26d-964adaae4159,2023-02-21 17:26:36.771118+02,2023-02-21 17:26:36.771118+02
